run_id,env_name,algorithm,total_steps,learning_rate,epoch,bath_size,buffer_size,gamma,lambda,mean_group_reward,group_cumulative_reward,episode_length,mean_policy_loss,mean_value_loss,mean_entropy,ELO,training_time,efficiency_score
LAPTOP-4A2E6G2C_SCT-15,SoccerTwos,poca,1370000,0.0003,3,2048,20480,0.99,0.95,-0.015347366953306036,-0.05311926454305649,421.8068810901503,0.016769242414738983,0.01796575695516367,3.071267639633513,1241.2309497974536,15316.471497297287,-0.00012024205671141058
LAPTOP-4A2E6G2C_SCT-16,SoccerTwos,poca,1370000,0.0003,3,2048,20480,0.99,0.95,-0.05886817818556837,-0.06612307578325272,819.7258233954436,0.01705227925309113,0.0024425001409413413,3.18314605733774,1200.119413731462,15307.744201660156,-0.00046147762134032003
LAPTOP-4A2E6G2C_SCT-17,SoccerTwos,poca,1020000,0.0003,3,2048,20480,0.99,0.95,-0.017081211480841626,-0.17046399414539337,843.7150795132507,0.01649789545843576,0.0020332658251352265,3.197372551057853,1209.3307487581983,11573.149740695953,-0.00017711214523503894
LAPTOP-4A2E6G2C_SCT-18,SoccerTwos,poca,510000,0.0003,3,2048,20480,0.99,0.95,-0.05988184779005892,-0.4166666567325592,838.8257948931525,0.017473499290645123,0.002268892072606832,3.227826857099346,1201.8037516276042,8108.97464799881,-0.0008861566408498316
LAPTOP-4A2E6G2C_SCT-19,SoccerTwos,poca,510000,0.0003,3,2048,20480,0.99,0.95,-0.0690705474293745,0.04608000069856644,828.3960690965839,0.01688212221083434,0.0024736629237177904,3.233933864855299,1203.561820652174,8104.788193702698,-0.0010226628375020286
LAPTOP-4A2E6G2C_SCT-20,SoccerTwos,poca,510000,0.0003,3,2048,20480,0.99,0.95,-0.09828426047027403,-0.1666666716337204,882.9021965475644,0.016868180392876915,0.0019007455252904037,3.232472214044309,1198.646314119038,8100.919000387192,-0.0014558979365019169
LAPTOP-4A2E6G2C_SCT-21,SoccerTwos,poca,1300000,0.0003,3,2048,20480,0.99,0.95,-0.07821390980803139,-0.3636363744735718,883.3144681490385,0.01725451249318818,0.0017464784299287808,3.2023593187332153,1189.5000428544713,14756.542932033539,-0.0006360344167460343
LAPTOP-4A2E6G2C_SCT-22,SoccerTwos,poca,1290000,0.0003,3,2048,20480,0.99,0.95,-0.04709835156307433,-0.3333333432674408,927.1865910966267,0.017034387894732467,0.0010274594756784297,3.2030148801877516,1202.510055763134,14736.304081439972,-0.00038352915061567105
LAPTOP-4A2E6G2C_SCT-23,SoccerTwos,poca,1290000,0.0003,3,2048,20480,0.99,0.95,-0.06172820547227423,-0.023299995809793472,872.4737350109011,0.01681118815516432,0.0017599091122140937,3.188865291979886,1197.7160133828922,14722.956555128098,-0.000503118013622941
LAPTOP-4A2E6G2C_SCT-24,SoccerTwos,poca,620000,0.0003,3,2048,20480,0.99,0.95,-0.08076840271279516,0.15589091181755066,809.3843196745842,0.017099471570088946,0.0026771771452582345,3.2136654277001657,1196.785132271903,9304.627391815186,-0.0010416546431575723
LAPTOP-4A2E6G2C_SCT-25,SoccerTwos,poca,620000,0.0003,3,2048,20480,0.99,0.95,-0.06089504700784962,-0.1562909036874771,850.7828113186744,0.017335920851549197,0.0021205475282088096,3.223078893076989,1200.4683720515325,9284.246625423431,-0.0007870757785485563
LAPTOP-4A2E6G2C_SCT-26,SoccerTwos,poca,620000,0.0003,3,2048,20480,0.99,0.95,-0.08695605206077979,-0.47816842794418335,778.2292283581149,0.01692195176812155,0.0033090599795936476,3.2075715603366977,1197.860078456038,9270.770953893661,-0.0011255510786738897
