RunID,game_name,final_reward,Step,max_reward,time_to_max_reward_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,game_name,batch_size,learning_rate_real,buffer_size,beta_real,epsilon_real,lambd,num_epoch,cumulative_reward,entropy,episode_length,episode_time,loss_value,policy_loss
20251123-014754,3DBall,58.57895660400391,84000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,1.234241247,1.41639185,22.34435844,0.561914086,0.610399604,0.018176701
20251123-014754,3DBall,58.57895660400391,168000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,1.151685357,1.40172708,21.50187302,0.530519724,0.393697619,0.015996171
20251123-014754,3DBall,58.57895660400391,252000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,1.333943009,1.395694613,23.35365868,0.567961752,0.313288629,0.018897666
20251123-014754,3DBall,58.57895660400391,336000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,1.555530906,1.393501401,25.65265465,0.592059553,0.335870504,0.018438386
20251123-014754,3DBall,58.57895660400391,420000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,1.943400979,1.392135859,29.50761414,0.663227141,0.394060761,0.018514847
20251123-014754,3DBall,58.57895660400391,492000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,2.032198906,1.391861081,30.35340309,0.561023891,0.463524997,0.017295387
20251123-014754,3DBall,58.57895660400391,576000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,2.437463045,1.386931419,34.43235397,0.7681517,0.544197023,0.017440842
20251123-014754,3DBall,58.57895660400391,660000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,3.381343365,1.382777214,44.02230453,0.968089879,0.651199281,0.01853542
20251123-014754,3DBall,58.57895660400391,744000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,4.844059944,1.37833333,58.48019791,1.283102989,0.779780328,0.017905066
20251123-014754,3DBall,58.57895660400391,828000.0,58.57895660400391,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,8.780328751,1.371932387,97.93442535,2.099228382,0.963662565,0.017226869
