RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20251123-014754,58.57895660400391,58.57895660400391,636.410400390625,636.410400390625,0.0177604616619646,0.6451017583409945,1.3878668977553583,1.3534528017044067,8.0,3.929518067693136,16323.0,14435.058217243975,2267.333251953125,2267.333251953125,20.0,10.744979910103671,1988.0,1758.4899578783886,1.0282371044158936,0.5814139340297285,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5.0,constant,True,32,1,simple,,,5,1000000,512,12000
20251123-015841,5.235752105712891,5.377957820892334,550.6408081054688,595.1753540039062,0.0247099060410012,0.0188876832447324,1.3986947134316683,1.3831757307052612,10.5,3.414056224995349,14286.3330078125,11743.351409544428,2267.333251953125,2267.333251953125,23.0,8.096385545041187,1735.0,1212.0381535909262,1.239390850067139,0.6848362935594765,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,3.3e-05,40960,0.004283,0.12,0.941,5.0,linear,False,256,2,simple,,,5,1000000,128,12000
20251123-020847,1.2497063875198364,1.3675564527511597,202.6998443603516,248.8567047119141,0.0134409023448824,0.0709794908761978,1.4175907954937077,1.4149041175842283,5.699999809265137,2.4922764272224613,10554.0,10195.081269054876,2267.333251953125,2267.333251953125,1.6666666269302368,1.0121951219512195,1124.0,1124.0,0.9906185269355774,0.6380969591257049,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000142,327680,0.004455,0.201,0.926,4.0,linear,True,256,2,simple,,,5,500000,256,12000
20251123-021308,4.137004852294922,4.137004852294922,519.66943359375,519.66943359375,0.0185840626557667,0.2096956719954808,1.3904376345944691,1.3483072519302368,5.75,2.4401606335697403,10402.3330078125,10191.122517413403,2267.333251953125,2267.333251953125,1.3333333730697632,1.0000000035906411,1124.0,1114.3935738069465,1.115403652191162,0.6571708045091974,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000271,163840,0.005538,0.196,0.916,4.0,constant,True,64,1,simple,,,5,1000000,256,12000
20251123-022158,1.3970893621444702,1.4980477094650269,210.3329620361328,302.1870422363281,0.0177972540259361,0.1094904442628224,1.412454308533087,1.4047479629516602,5.4666666984558105,2.364227635104482,10431.3330078125,10288.487757240851,2267.333251953125,2267.333251953125,1.3333333730697632,1.012195126312535,1112.0,1112.0,1.0325762033462524,0.6535803028723088,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,2048,0.000184,163840,0.009037,0.125,0.941,5.0,linear,False,256,3,simple,,,5,500000,128,12000
20251123-022714,1.2261627912521362,1.250293493270874,29.45754623413086,54.36628723144531,0.0249508451670408,0.331251710653305,1.418759599328041,1.4177170991897583,5.099999904632568,2.725000038743019,10281.0,10211.70849609375,2267.333251953125,2267.333251953125,13.0,2.58333333581686,1112.0,1112.0,0.8261364102363586,0.6033881194889545,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,0.000119,81920,0.00462,0.253,0.937,5.0,linear,True,64,3,simple,,,5,100000,128,12000
20251123-022819,94.35001373291016,94.35001373291016,871.2884521484375,871.2884521484375,0.0241213880750971,1.6278281607665122,1.379095400672361,1.3430118560791016,11.800000190734863,4.1578313255884565,10227.5,10184.727897919804,2267.333251953125,2267.333251953125,9.0,1.3965863459799663,1112.0,1112.0,1.380275011062622,0.6972468342766704,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,1024,5.9e-05,20480,0.006401,0.286,0.93,3.0,constant,True,32,2,simple,,,5,2000000,1024,12000
20251123-024301,100.00001525878906,100.00001525878906,181.7078857421875,855.947021484375,0.0344459488987922,0.0078526018936978,0.9740616327308746,0.6853297352790833,9.800000190734863,3.0290160692599883,10256.5,10221.48894601845,2267.333251953125,2267.333251953125,2.5,1.450803213449846,1112.0,1112.0,1.1551042795181274,0.7141349517616881,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,512,0.000232,40960,0.006051,0.282,0.915,3.0,constant,True,64,1,simple,,,5,2000000,128,12000
20251123-025729,1.9958761930465696,2.0179219245910645,485.1455078125,505.5616149902344,0.0126773111987858,0.2310449729363123,1.4087064668356657,1.399545669555664,6.266666889190674,2.6108433740684784,10353.3330078125,10280.947748023344,2267.333251953125,2267.333251953125,1.6666666269302368,1.000000002872513,1112.0,1112.0,1.1592135429382324,0.6777311822017992,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,0.000129,81920,0.004336,0.184,0.938,4.0,linear,False,64,2,simple,,,5,1000000,512,12000
20251123-030604,1.2776237726211548,1.3130784034729004,570.9609375,648.701904296875,0.0124281145011384,0.3238672638932864,1.4104551579578812,1.4053186178207395,5.199999809265137,2.3558232827358934,10471.6669921875,10351.720891378012,2267.333251953125,2267.333251953125,1.3333333730697632,1.022088357483048,1113.0,1112.9939759036145,1.107769012451172,0.6755342709730907,0.0,0.0,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265653248,NVIDIA GeForce RTX 5080,16303.0,,ppo,3DBall,4096,6.3e-05,163840,0.003198,0.176,0.936,8.0,linear,False,64,1,simple,,,5,1000000,1024,12000
